customerID,companyName,contactName,contactTitle,city,country
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,gENÈVE,Switzerland
  ROMEY ,Romero y tomillo,Alejandra Camino,Accounting Manager,Madrid,Spain
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Stavern,NORWAY
  SAVEA ,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,london,UK
SIMOB,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,Paris,FRANCE
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,cHARLEROI,Belgium
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,Portland,USA
THECR,The Cracker Box,Liu Wong,Marketing Assistant,Butte,USA
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,GERMANY
  TORTU ,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico City,MEXICO
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,Sao Paulo,BRAZIL
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,Kirkland,USA
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Denmark
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,lYON,FRANCE
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,reims,France
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,STUTTGART,Germany
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,FINLAND
WELLI,Wellington Importadora,Paula Parente,Sales Manager,rESENDE,Brazil
WHITC,White Clover Markets,Karl Jablonski,Owner,SEATTLE,USA
  WILMK ,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Helsinki,Finland
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Warszawa,Poland
